"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Zac","Jungle",3,"1.3%","1.8%","3.1%","67%","100%",9,5,30,7.8,"79.6%","18.5%","0%",97,122,-6,5.6,"14.8%",289,"14.9%","17.2%",0.39,0.39
"Graves","Jungle",2,"0.9%","0.0%","0.9%","0%","100%",4,6,3,1.2,"58.3%","17.1%","0%",204,183,6.5,7.1,"21.2%",332,"23.5%","22.2%",0.2,0.47
"Kindred","Jungle",2,"0.9%","1.3%","2.2%","0%","50%",3,9,5,0.9,"61.5%","34.6%","50%",-385,-125,3,6.2,"16.9%",378,"26.0%","18.1%",0.18,0.72
"Nocturne","Jungle",2,"0.9%","36.3%","54.9%","0%","50%",4,5,15,3.8,"76.0%","15.6%","0%",129,291,8,6.7,"18.9%",338,"18.4%","20.2%",0.88,0.37
"Pantheon","Support",2,"0.9%","0.0%","0.9%","50%","50%",1,8,5,0.8,"31.6%","34.8%","50%",-46,-98,3,1.2,"2.6%",121,"7.2%","7.1%",1.52,0.49
"Samira","ADC",2,"0.9%","0.4%","1.3%","50%","100%",7,4,8,3.8,"60.0%","11.4%","0%",107,66,2,8.9,"31.8%",381,"18.5%","26.1%",0.38,0.23
"Senna","Support",2,"0.9%","8.0%","16.4%","50%","0%",5,5,15,4,"66.7%","17.9%","0%",433,-37,-10,0.9,"4.4%",356,"17.4%","12.8%",1.38,0.49
"Soraka","Support",2,"0.9%","0.4%","1.3%","100%","100%",0,0,15,15,"68.2%","0.0%","0%",227,-382,-12,0.6,"2.2%",154,"7.9%","8.6%",1.34,0.45
"Taliyah","Jungle",2,"0.9%","0.0%","0.9%","0%","100%",6,9,5,1.2,"78.6%","22.5%","50%",70,-94,0,7,"21.1%",478,"29.9%","23.0%",0.6,0.3
"Vayne","ADC",2,"0.9%","0.0%","0.9%","50%","100%",6,5,5,2.2,"64.7%","16.7%","0%",-22,18,-2.5,9.7,"33.6%",429,"26.9%","27.7%",0.36,0.53
"Xayah","ADC",2,"0.9%","0.0%","0.9%","0%","50%",5,4,9,3.5,"63.6%","10.8%","0%",151,136,1.5,9.3,"32.7%",375,"20.8%","26.3%",0.45,0.46
"Yasuo","Middle",2,"0.9%","2.2%","3.1%","100%","100%",4,1,11,15,"55.6%","5.0%","0%",-86,-512,-11,9.9,"29.1%",226,"11.9%","23.7%",0.4,0.36
"Caitlyn","ADC",1,"0.4%","0.4%","0.9%","0%","100%",3,2,5,4,"72.7%","18.2%","0%",-270,279,6,10.2,"35.7%",679,"32.8%","28.3%",0.55,1.04
"Cassiopeia","Middle",1,"0.4%","0.0%","0.4%","0%","100%",1,3,3,1.3,"80.0%","27.3%","0%",-684,-361,1,9.6,"25.6%",299,"25.1%","24.0%",0.33,0.37
"Draven","ADC",1,"0.4%","0.4%","0.9%","100%","100%",10,4,7,4.3,"73.9%","40.0%","100%",-499,-44,-13,9.1,"31.2%",675,"31.9%","30.5%",0.98,0.58
"Ekko","Jungle",1,"0.4%","0.0%","0.4%","100%","100%",3,1,9,12,"75.0%","11.1%","100%",230,163,-4,7.4,"23.5%",425,"22.1%","21.5%",1.23,0.8
"Heimerdinger","Support",1,"0.4%","0.0%","0.4%","0%","100%",0,6,1,0.2,"100.0%","24.0%","0%",518,485,48,7.3,"27.4%",328,"20.1%","20.7%",0.44,0.11
"Kalista","Top",1,"0.4%","42.9%","71.7%","0%","100%",2,5,2,0.8,"50.0%","33.3%","0%",-962,145,3,9.2,"33.4%",346,"20.2%","27.4%",0.66,0.32
"Karma","ADC",1,"0.4%","21.2%","34.1%","100%","100%",1,2,14,7.5,"68.2%","25.0%","0%",-86,377,11,7.3,"16.3%",242,"12.1%","18.9%",0.65,0.34
